Report generated on: 04-02-2024 16:48:16
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-2-AGO-TST.A","        Coal (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.11-2-AGO-TST.A","            Anthracite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.130-2-AGO-TST.A","            Metallurgical coal (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.12-2-AGO-TST.A","            Bituminous (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.119-2-AGO-TST.A","            Subbituminous (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.14-2-AGO-TST.A","            Lignite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.21-2-AGO-TST.A","        Metallurgical coke (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-2-ATA-TST.A","        Coal (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.11-2-ATA-TST.A","            Anthracite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.130-2-ATA-TST.A","            Metallurgical coal (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.12-2-ATA-TST.A","            Bituminous (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.119-2-ATA-TST.A","            Subbituminous (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.14-2-ATA-TST.A","            Lignite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.21-2-ATA-TST.A","        Metallurgical coke (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-2-ATG-TST.A","        Coal (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.11-2-ATG-TST.A","            Anthracite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.130-2-ATG-TST.A","            Metallurgical coal (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.12-2-ATG-TST.A","            Bituminous (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.119-2-ATG-TST.A","            Subbituminous (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.14-2-ATG-TST.A","            Lignite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.21-2-ATG-TST.A","        Metallurgical coke (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-2-ARG-TST.A","        Coal (Mst)","2419.57044999995","2107.61672","2233.28005999994","2034.86425999998","1582.91715999999","2156.11835999999","2749.16113999997","2926.63304999998","2821.91359999996","3207.72210000008","2853.880589999962","2290.60018000004","2256.42856999996","1910.303230000013","2387.60346000004","2205.72230999998","2243.20084999997","2169.34608","2188.08534999999","2190.28996999997","1894.87088999998","1789.049129999987","1642.441899999987","2000.69264999996","2461.458229999923","2615.781629999907","2502.243699999991","2900.17760999993","3394.016165536054","2363.642451852889","2741.444970000023","2844.682921283237","2869.312929999938","3169.141249999868","3085.365689999954","3001.590129999935","2624.6001099999994","2735.2703968550027","2518.211707814678","1730.5417008759007","1948.117974549952","2997.6336691910365","2311.8812605527114"
"INTL.11-2-ARG-TST.A","            Anthracite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.130-2-ARG-TST.A","            Metallurgical coal (Mst)","920.42885","750.67311","824.52788","738.5477","539.02959","921.53116","1159.63012","1253.32647","1110.02617","1441.82148","1287.49808","932.55426","907.20113","673.51141","702.17147","676.81834","830.03943","813.50478","849.88101","780.43548","640.44211","772.71931","783.74241","957.90739","1231.28027","1037.27371","983.26052","1341.51127","1608.27029","642.64673","1083.57073","1059.31991","972.23742","1234.5872","1234.5872","1253.32647","944.67967","1051.60704693","1163.93243593","795.34201813","875.57034455","1076.36713415","1270.66801092"
"INTL.12-2-ARG-TST.A","            Bituminous (Mst)","1341.392236204","1166.1360601156","1210.8025534882","1074.3687195062","871.52572873313","1090.3558462471","1460.2091201613","1529.5496161102","1532.4940426579","1591.5646467808","1468.9848402755","1243.2146657394","1271.6271924674","1174.5559273176","1563.1532189982","1420.2474842475","1303.5729387042","1253.6374979379","1235.1321838403","1282.547003861","1150.0310622598","950.81746248959","828.01963300908","1020.6695650121","1208.8916668892","1569.1402936013","1510.4130921548","1539.8286833076","1771.74055875","1709.0858574042","1646.4311560585","1761.1530155333","1875.8748750081","1925.4073028539","1830.2528590189","1735.6163922748","1671.332995995","1676.2842219273","1346.396772676","926.95531554299","1065.1190634665","1913.61016","1037.3979758921"
"INTL.119-2-ARG-TST.A","            Subbituminous (Mst)","157.74936379595","190.8075498844","197.94962651174","221.94784049378","172.36184126686","144.23135375289","129.32189983867","143.75696388978","179.39338734206","174.33597321928","97.397669724462","114.83125426064","77.60024753256","62.235892682413","122.27877100184","108.65648575248","109.58848129577","102.2038020621","103.07215615969","127.30748613897","104.39771774018","65.512357510397","30.679856990907","22.11569498786","21.286293110723","9.367626398607","8.570087845191","18.83765669233","14.005316786054","11.909864448689","11.443083941523","24.209995749937","21.200634991838","9.146747145968","20.525630981054","12.647267725135","8.5874440049993","7.3791279977027","7.882499208678","8.2443672029106","7.428566533452","7.6563750410365","3.8152737406114"
"INTL.14-2-ARG-TST.A","            Lignite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
